Shape Area,Quality Flags,GeoUID,Type,Households,CD_UID,Dwellings,Population,name,CSD_UID,CT_UID,CMA_UID,Region Name,Area (sq km),Population (n),Total private dwellings (n),Population density per square kilometre,Median Value of Dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Occupied private dwellings (n),Single-detached house,Semi-detached house,Row house,Apartment or flat in a duplex,Apartment with <5 stories,Apartment with 5 or more stories,Other single attached house,No Bedrooms,1 Bedroom,2 Bedrooms,3 Bedrooms,4 or more bedrooms,Dwelling Density
0.0181,"0","35204618",DA,"331","3520","421","1107","35204618","3520005","5350062.01","35535","35204618",0.0181,1107,421,61160.2,900000,2480,2500,330,0,0,5,0,0,325,0,0,110,200,20,0,23259.6685082873
0.0307,"0","35204620",DA,"1009","3520","1262","1631","35204620","3520005","5350063.05","35535","35204620",0.0307,1631,1262,53127,880000,2100,2300,1010,0,0,0,0,0,1005,0,0,510,445,35,0,41107.4918566775
0.0177,"0","35204621",DA,"409","3520","605","637","35204621","3520005","5350063.05","35535","35204621",0.0177,637,605,35988.7,,,1450,405,0,0,0,0,0,405,5,85,170,65,0,0,34180.790960452
0.0174,"0","35204622",DA,"364","3520","445","525","35204622","3520005","5350063.05","35535","35204622",0.0174,525,445,30172.4,392000,1110,1400,365,0,0,0,0,85,280,0,60,225,105,0,0,25574.7126436782
0.0475,"0","35204623",DA,"543","3520","635","880","35204623","3520005","5350063.06","35535","35204623",0.0475,880,635,18526.3,900000,1880,1640,545,10,0,25,5,90,415,0,20,325,105,20,15,13368.4210526316
0.0175,"0","35204624",DA,"939","3520","1166","1467","35204624","3520005","5350063.06","35535","35204624",0.0175,1467,1166,83828.6,695000,2060,1940,935,0,0,0,0,35,905,0,60,520,305,10,0,66628.5714285714
0.1215,"0","35204650",DA,"1831","3520","2002","3073","35204650","3520005","5350013.01","35535","35204650",0.1215,3073,2002,25292.2,750000,1800,1620,1830,0,0,0,0,0,1830,0,30,1155,605,80,0,16477.366255144
0.0233,"0","35204652",DA,"622","3520","691","1088","35204652","3520005","5350013.02","35535","35204652",0.0233,1088,691,46695.3,755000,1960,2200,620,0,0,0,0,0,620,0,15,325,275,10,0,29656.652360515
0.0603,"0","35204653",DA,"1698","3520","1944","3003","35204653","3520005","5350013.02","35535","35204653",0.0603,3003,1944,49801,1000000,1660,2300,1700,0,0,0,0,0,1700,0,95,655,745,145,0,32238.8059701493
0.056,"0","35204668",DA,"640","3520","678","1201","35204668","3520005","5350225.01","35535","35204668",0.056,1201,678,21446.4,780000,1180,1660,640,0,0,0,0,5,630,0,0,95,435,95,0,12107.1428571429
0.0161,"0","35204669",DA,"196","3520","201","514","35204669","3520005","5350225.01","35535","35204669",0.0161,514,201,31925.5,,,1600,195,0,0,0,0,0,195,0,10,65,90,20,0,12484.4720496894
0.1404,"0","35204670",DA,"564","3520","593","1150","35204670","3520005","5350225.01","35535","35204670",0.1404,1150,593,8190.9,850000,1270,1500,565,0,0,0,0,0,560,0,10,175,355,35,0,4223.64672364672
0.0337,"0","35204671",DA,"269","3520","288","422","35204671","3520005","5350225.01","35535","35204671",0.0337,422,288,12522.3,1000000,1600,2680,265,0,0,0,0,0,270,0,0,60,185,25,0,8545.9940652819
0.3837,"0","35204672",DA,"348","3520","364","794","35204672","3520005","5350225.01","35535","35204672",0.3837,794,364,2069.3,1500000,1450,,345,230,0,0,5,20,100,0,0,45,100,100,115,948.657805577274
0.1397,"0","35204673",DA,"240","3520","248","584","35204673","3520005","5350225.01","35535","35204673",0.1397,584,248,4180.4,1500000,1210,1480,240,100,20,0,5,40,85,0,0,45,65,55,70,1775.23264137437
